year,type,details,country,location
168,Omen,Moon Turns Red,Rome,Gallia
168,Omen,Geese Flying Backwards,Persia,North Persia
168,Disaster,Pillaged By Germania,Persia,North Persia
168,Omen,Flaming Comet,Britannia,Britannia
168,Omen,Moon Turns Red,Britannia,Britannia
169,Disaster,Famine,Persia,North Persia
169,Omen,Geese Flying Backwards,Germania,South Germania
170,Disaster,Famine,Rome,Grecia
170,Omen,Three-Headed Baby,Persia,Outer Persia
170,Omen,Rivers of Blood,Germania,North Germania
170,Omen,Three-Headed Baby,Germania,South Germania
171,Omen,Three-Headed Baby,Persia,Central Persia
171,Omen,Three-Headed Baby,Germania,North Germania
171,Omen,Geese Flying Backwards,Germania,South Germania
172,Disaster,Famine,Persia,North Persia
173,Omen,Rivers of Blood,Persia,Central Persia
173,Omen,Three-Headed Baby,Persia,Outer Persia
173,Omen,Rivers of Blood,Germania,North Germania
173,Omen,Moon Turns Red,Germania,North Germania
174,Omen,Moon Turns Red,Germania,North Germania
174,Disaster,Plague,Germania,North Germania
175,Omen,Three-Headed Baby,Rome,Gallia
175,Omen,Moon Turns Red,Rome,Grecia
175,Omen,Moon Turns Red,Persia,North Persia
175,Disaster,Plague,Persia,North Persia
175,Disaster,Fire,Germania,South Germania
175,Disaster,Famine,Germania,South Germania
176,Disaster,Earthquake,Rome,Gallia
176,Omen,Moon Turns Red,Rome,Grecia
176,Disaster,Fire,Britannia,Britannia
176,Disaster,Earthquake,Germania,North Germania
178,Omen,Three-Headed Baby,Rome,Italia
179,Omen,Rivers of Blood,Persia,Outer Persia
179,Omen,Three-Headed Baby,Persia,North Persia
179,Disaster,Pillaged By Persia,Germania,North Germania
180,Omen,Rivers of Blood,Persia,Outer Persia
180,Disaster,Pillaged By Rome,Britannia,Britannia
180,Disaster,Pillaged By Rome,Germania,South Germania
182,Disaster,Pillaged By Germania,Britannia,Britannia
182,Omen,Geese Flying Backwards,Germania,North Germania
183,Omen,Rivers of Blood,Britannia,Britannia
183,Disaster,Fire,Britannia,Britannia
184,Omen,Moon Turns Red,Rome,Gallia
184,Omen,Three-Headed Baby,Persia,Central Persia
184,Omen,Geese Flying Backwards,Germania,North Germania
185,Disaster,Plague,Rome,Gallia
185,Omen,Moon Turns Red,Persia,North Persia
185,Omen,Geese Flying Backwards,Germania,North Germania
186,Omen,Black Dove,Rome,Italia
186,Omen,Black Dove,Rome,Gallia
186,Omen,Rivers of Blood,Persia,Central Persia
186,Omen,Black Dove,Persia,Central Persia
186,Omen,Black Dove,Persia,North Persia
186,Omen,Moon Turns Red,Britannia,Britannia
186,Omen,Black Dove,Britannia,Britannia
187,Omen,Rivers of Blood,Persia,Central Persia
187,Omen,Moon Turns Red,Persia,Central Persia
187,Disaster,Fire,Persia,Central Persia
187,Omen,Three-Headed Baby,Persia,Outer Persia
187,Omen,Geese Flying Backwards,Germania,North Germania
188,Disaster,Plague,Persia,Central Persia
189,Omen,Rivers of Blood,Rome,Italia
189,Disaster,Pillaged By Britannia,Rome,Gallia
189,Omen,Geese Flying Backwards,Rome,Grecia
189,Disaster,Plague,Persia,Outer Persia
189,Omen,Three-Headed Baby,Germania,South Germania
189,Disaster,Famine,Germania,South Germania
190,Disaster,Fire,Rome,Italia
190,Disaster,Famine,Rome,Grecia
190,Omen,Rivers of Blood,Britannia,Britannia
190,Disaster,Fire,Germania,North Germania
191,Omen,Black Dove,Rome,Gallia
191,Omen,Black Dove,Rome,Grecia
191,Omen,Black Dove,Persia,Central Persia
191,Omen,Black Dove,Persia,North Persia
191,Omen,Black Dove,Britannia,Britannia
191,Omen,Rivers of Blood,Germania,North Germania
191,Omen,Black Dove,Germania,South Germania
192,Disaster,Fire,Rome,Italia
192,Omen,Rivers of Blood,Rome,Gallia
192,Omen,Geese Flying Backwards,Britannia,Britannia
192,Disaster,Fire,Germania,South Germania
193,Omen,Black Dove,Rome,Italia
193,Omen,Black Dove,Rome,Grecia
193,Disaster,Famine,Persia,Central Persia
193,Omen,Black Dove,Persia,Outer Persia
193,Disaster,Fire,Persia,North Persia
193,Omen,Geese Flying Backwards,Britannia,Britannia
193,Omen,Black Dove,Germania,North Germania
193,Omen,Black Dove,Germania,South Germania
194,Omen,Rivers of Blood,Rome,Gallia
194,Omen,Rivers of Blood,Persia,North Persia
194,Disaster,Famine,Britannia,Britannia
195,Omen,Moon Turns Red,Rome,Italia
195,Omen,Rivers of Blood,Britannia,Britannia
195,Omen,Moon Turns Red,Germania,South Germania
196,Disaster,Famine,Persia,Central Persia
196,Disaster,Pillaged By Britannia,Germania,North Germania
196,Omen,Rivers of Blood,Germania,South Germania
196,Disaster,Plague,Germania,South Germania
197,Omen,Moon Turns Red,Persia,Central Persia
197,Omen,Rivers of Blood,Britannia,Britannia
197,Disaster,Plague,Germania,North Germania
197,Omen,Rivers of Blood,Germania,South Germania
198,Omen,Moon Turns Red,Rome,Grecia
198,Omen,Three-Headed Baby,Persia,North Persia
198,Omen,Moon Turns Red,Persia,North Persia
198,Disaster,Plague,Persia,North Persia
199,Disaster,Famine,Persia,Central Persia
200,Disaster,Fire,Persia,Outer Persia
200,Disaster,Fire,Germania,South Germania
200,Disaster,Famine,Germania,South Germania
201,Disaster,Earthquake,Rome,Italia
201,Omen,Three-Headed Baby,Rome,Gallia
201,Omen,Geese Flying Backwards,Persia,Central Persia
201,Omen,Moon Turns Red,Germania,South Germania
201,Disaster,Earthquake,Germania,South Germania
201,Disaster,Pillaged By Rome,Germania,South Germania
202,Disaster,Fire,Rome,Grecia
202,Omen,Flaming Comet,Germania,North Germania
203,Omen,Rivers of Blood,Rome,Gallia
203,Omen,Moon Turns Red,Rome,Grecia
204,Disaster,Plague,Rome,Grecia
204,Disaster,Pillaged By Persia,Rome,Grecia
204,Omen,Moon Turns Red,Persia,North Persia
205,Disaster,Plague,Rome,Italia
205,Disaster,Pillaged By Britannia,Rome,Gallia
205,Disaster,Earthquake,Rome,Grecia
205,Omen,Moon Turns Red,Persia,Central Persia
205,Omen,Moon Turns Red,Persia,North Persia
205,Omen,Sun Goes Dark,Germania,North Germania
206,Disaster,Famine,Rome,Italia
206,Disaster,Pillaged By Persia,Rome,Grecia
206,Omen,Moon Turns Red,Persia,Central Persia
206,Omen,Three-Headed Baby,Germania,North Germania
207,Omen,Moon Turns Red,Rome,Italia
207,Omen,Moon Turns Red,Germania,North Germania
208,Omen,Rivers of Blood,Rome,Italia
208,Disaster,Fire,Rome,Gallia
208,Omen,Moon Turns Red,Persia,Central Persia
209,Disaster,Pillaged By Britannia,Rome,Gallia
209,Disaster,Pillaged By Germania,Rome,Gallia
209,Omen,Three-Headed Baby,Rome,Grecia
209,Omen,Geese Flying Backwards,Persia,Central Persia
210,Omen,Three-Headed Baby,Persia,Central Persia
210,Omen,Geese Flying Backwards,Persia,Central Persia
210,Omen,Rivers of Blood,Persia,Outer Persia
210,Omen,Rivers of Blood,Persia,North Persia
211,Omen,Rivers of Blood,Rome,Italia
211,Omen,Geese Flying Backwards,Rome,Italia
211,Disaster,Famine,Rome,Gallia
211,Omen,Rivers of Blood,Rome,Grecia
211,Omen,Rivers of Blood,Britannia,Britannia
212,Omen,Geese Flying Backwards,Rome,Italia
214,Omen,Black Dove,Rome,Italia
214,Disaster,Fire,Rome,Italia
214,Disaster,Famine,Rome,Italia
214,Omen,Three-Headed Baby,Persia,Central Persia
214,Disaster,Fire,Persia,Central Persia
214,Omen,Black Dove,Persia,North Persia
214,Omen,Black Dove,Germania,North Germania
214,Omen,Three-Headed Baby,Germania,South Germania
214,Disaster,Fire,Germania,South Germania
215,Omen,Rivers of Blood,Rome,Grecia
215,Disaster,Fire,Rome,Grecia
215,Disaster,Earthquake,Germania,South Germania
216,Omen,Geese Flying Backwards,Rome,Gallia
216,Omen,Geese Flying Backwards,Rome,Grecia
216,Omen,Rivers of Blood,Britannia,Britannia
216,Omen,Moon Turns Red,Germania,South Germania
217,Omen,Three-Headed Baby,Britannia,Britannia
218,Disaster,Famine,Rome,Grecia
218,Omen,Rivers of Blood,Persia,Central Persia
219,Disaster,Fire,Rome,Grecia
219,Disaster,Fire,Persia,Outer Persia
219,Omen,Three-Headed Baby,Persia,North Persia
219,Omen,Geese Flying Backwards,Persia,North Persia
220,Omen,Geese Flying Backwards,Rome,Gallia
220,Omen,Rivers of Blood,Persia,North Persia
220,Omen,Geese Flying Backwards,Persia,North Persia
220,Omen,Moon Turns Red,Persia,North Persia
220,Omen,Moon Turns Red,Germania,North Germania
221,Disaster,Famine,Rome,Gallia
221,Omen,Moon Turns Red,Persia,Central Persia
221,Disaster,Famine,Persia,North Persia
221,Disaster,Plague,Persia,North Persia
221,Omen,Three-Headed Baby,Germania,North Germania
221,Disaster,Fire,Germania,North Germania
222,Omen,Black Dove,Rome,Gallia
222,Disaster,Earthquake,Persia,Central Persia
222,Omen,Black Dove,Persia,Outer Persia
222,Omen,Moon Turns Red,Germania,South Germania
223,Disaster,Famine,Rome,Gallia
223,Omen,Rivers of Blood,Persia,Outer Persia
223,Omen,Moon Turns Red,Persia,Outer Persia
223,Omen,Moon Turns Red,Persia,North Persia
223,Omen,Three-Headed Baby,Britannia,Britannia
223,Disaster,Plague,Germania,South Germania
224,Omen,Geese Flying Backwards,Rome,Italia
224,Disaster,Pillaged By Persia,Rome,Grecia
224,Omen,Moon Turns Red,Persia,Central Persia
224,Disaster,Famine,Persia,North Persia
224,Omen,Rivers of Blood,Germania,North Germania
224,Omen,Moon Turns Red,Germania,South Germania
225,Omen,Three-Headed Baby,Rome,Italia
225,Omen,Geese Flying Backwards,Rome,Italia
225,Omen,Rivers of Blood,Rome,Gallia
225,Omen,Geese Flying Backwards,Persia,North Persia
225,Omen,Moon Turns Red,Persia,North Persia
225,Omen,Geese Flying Backwards,Britannia,Britannia
225,Omen,Moon Turns Red,Germania,North Germania
226,Omen,Geese Flying Backwards,Rome,Italia
226,Omen,Moon Turns Red,Rome,Gallia
226,Disaster,Pillaged By Britannia,Rome,Gallia
226,Omen,Three-Headed Baby,Persia,Outer Persia
226,Disaster,Plague,Germania,North Germania
227,Disaster,Plague,Persia,North Persia
227,Disaster,Plague,Britannia,Britannia
228,Omen,Geese Flying Backwards,Rome,Italia
228,Omen,Moon Turns Red,Rome,Italia
228,Disaster,Plague,Rome,Gallia
228,Omen,Moon Turns Red,Rome,Grecia
228,Omen,Sun Goes Dark,Persia,Central Persia
228,Disaster,Plague,Persia,Central Persia
228,Omen,Three-Headed Baby,Persia,Outer Persia
228,Omen,Moon Turns Red,Britannia,Britannia
228,Omen,Moon Turns Red,Germania,North Germania
229,Disaster,Plague,Rome,Italia
229,Disaster,Pillaged By Rome,Germania,South Germania
230,Omen,Moon Turns Red,Rome,Gallia
230,Disaster,Fire,Rome,Grecia
230,Disaster,Plague,Rome,Grecia
230,Omen,Moon Turns Red,Persia,Outer Persia
231,Disaster,Famine,Rome,Italia
231,Omen,Geese Flying Backwards,Persia,North Persia
231,Omen,Geese Flying Backwards,Germania,North Germania
232,Disaster,Pillaged By Britannia,Rome,Gallia
232,Omen,Geese Flying Backwards,Britannia,Britannia
233,Omen,Geese Flying Backwards,Rome,Gallia
233,Disaster,Pillaged By Persia,Rome,Grecia
233,Disaster,Famine,Persia,North Persia
233,Disaster,Famine,Britannia,Britannia
233,Omen,Geese Flying Backwards,Germania,North Germania
233,Omen,Rivers of Blood,Germania,South Germania
234,Omen,Rivers of Blood,Rome,Italia
234,Omen,Geese Flying Backwards,Rome,Gallia
234,Omen,Moon Turns Red,Persia,North Persia
234,Omen,Sun Goes Dark,Britannia,Britannia
234,Disaster,Pillaged By Germania,Britannia,Britannia
234,Disaster,Famine,Germania,North Germania
235,Disaster,Famine,Rome,Gallia
236,Omen,Three-Headed Baby,Germania,South Germania
237,Omen,Rivers of Blood,Rome,Gallia
237,Omen,Three-Headed Baby,Persia,Central Persia
237,Omen,Rivers of Blood,Persia,Outer Persia
237,Disaster,Pillaged By Rome,Britannia,Britannia
238,Disaster,Pillaged By Germania,Britannia,Britannia
238,Omen,Moon Turns Red,Germania,North Germania
239,Omen,Rivers of Blood,Rome,Gallia
239,Omen,Rivers of Blood,Rome,Grecia
239,Omen,Moon Turns Red,Rome,Grecia
239,Omen,Moon Turns Red,Persia,Outer Persia
239,Disaster,Plague,Germania,North Germania
239,Disaster,Pillaged By Persia,Germania,North Germania
240,Disaster,Earthquake,Persia,North Persia
240,Disaster,Earthquake,Britannia,Britannia
241,Omen,Rivers of Blood,Rome,Grecia
241,Disaster,Pillaged By Germania,Britannia,Britannia
241,Omen,Three-Headed Baby,Germania,South Germania
242,Disaster,Fire,Rome,Gallia
242,Omen,Moon Turns Red,Persia,Central Persia
242,Disaster,Pillaged By Rome,Britannia,Britannia
242,Omen,Flaming Comet,Germania,North Germania
243,Omen,Three-Headed Baby,Persia,Central Persia
243,Disaster,Pillaged By Rome,Britannia,Britannia
243,Omen,Rivers of Blood,Germania,North Germania
243,Omen,Moon Turns Red,Germania,North Germania
244,Disaster,Fire,Persia,Outer Persia
244,Omen,Three-Headed Baby,Britannia,Britannia
245,Omen,Three-Headed Baby,Germania,South Germania
246,Omen,Three-Headed Baby,Rome,Gallia
246,Omen,Moon Turns Red,Britannia,Britannia
246,Disaster,Fire,Germania,South Germania
248,Omen,Rivers of Blood,Rome,Gallia
249,Disaster,Pillaged By Rome,Persia,Outer Persia
251,Omen,Rivers of Blood,Germania,South Germania
252,Omen,Three-Headed Baby,Persia,North Persia
252,Disaster,Pillaged By Germania,Britannia,Britannia
253,Omen,Three-Headed Baby,Persia,Central Persia
253,Omen,Geese Flying Backwards,Germania,South Germania
254,Omen,Rivers of Blood,Rome,Italia
254,Omen,Three-Headed Baby,Persia,Central Persia
254,Omen,Rivers of Blood,Persia,Central Persia
254,Disaster,Famine,Persia,North Persia
254,Omen,Geese Flying Backwards,Germania,South Germania
255,Omen,Moon Turns Red,Persia,North Persia
255,Omen,Three-Headed Baby,Germania,South Germania
255,Omen,Rivers of Blood,Germania,South Germania
256,Omen,Rivers of Blood,Rome,Italia
256,Disaster,Pillaged By Germania,Britannia,Britannia
256,Omen,Three-Headed Baby,Germania,North Germania
256,Omen,Geese Flying Backwards,Germania,South Germania
256,Omen,Moon Turns Red,Germania,South Germania
257,Disaster,Pillaged By Germania,Rome,Italia
257,Disaster,Fire,Rome,Grecia
257,Omen,Rivers of Blood,Persia,Central Persia
257,Omen,Rivers of Blood,Persia,North Persia
257,Disaster,Famine,Persia,North Persia
257,Omen,Moon Turns Red,Britannia,Britannia
257,Omen,Rivers of Blood,Germania,South Germania
257,Disaster,Famine,Germania,South Germania
257,Disaster,Plague,Germania,South Germania
258,Disaster,Earthquake,Rome,Italia
258,Disaster,Plague,Rome,Italia
258,Omen,Moon Turns Red,Rome,Grecia
258,Disaster,Fire,Persia,Outer Persia
258,Disaster,Earthquake,Germania,North Germania
259,Omen,Rivers of Blood,Rome,Italia
259,Disaster,Plague,Rome,Grecia
259,Disaster,Fire,Persia,Central Persia
259,Omen,Geese Flying Backwards,Persia,North Persia
260,Disaster,Fire,Rome,Gallia
260,Disaster,Famine,Persia,North Persia
262,Omen,Geese Flying Backwards,Rome,Italia
262,Omen,Geese Flying Backwards,Persia,North Persia
262,Omen,Three-Headed Baby,Britannia,Britannia
262,Omen,Geese Flying Backwards,Germania,North Germania
263,Omen,Geese Flying Backwards,Rome,Italia
263,Disaster,Pillaged By Britannia,Rome,Gallia
263,Disaster,Pillaged By Persia,Rome,Grecia
263,Omen,Rivers of Blood,Persia,Central Persia
265,Omen,Moon Turns Red,Rome,Gallia
265,Omen,Moon Turns Red,Rome,Grecia
265,Omen,Rivers of Blood,Persia,North Persia
265,Omen,Three-Headed Baby,Britannia,Britannia
265,Disaster,Fire,Britannia,Britannia
265,Omen,Geese Flying Backwards,Germania,North Germania
266,Disaster,Plague,Rome,Gallia
266,Disaster,Famine,Germania,North Germania
266,Omen,Three-Headed Baby,Germania,South Germania
267,Disaster,Pillaged By Persia,Rome,Grecia
267,Omen,Moon Turns Red,Persia,Central Persia
267,Omen,Moon Turns Red,Britannia,Britannia
267,Disaster,Plague,Britannia,Britannia
267,Disaster,Pillaged By Rome,Britannia,Britannia
267,Omen,Rivers of Blood,Germania,South Germania
267,Disaster,Fire,Germania,South Germania
267,Disaster,Plague,Germania,South Germania
268,Disaster,Plague,Persia,Central Persia
268,Omen,Geese Flying Backwards,Persia,North Persia
268,Disaster,Earthquake,Germania,North Germania
268,Disaster,Pillaged By Rome,Germania,South Germania
269,Disaster,Plague,Persia,Outer Persia
269,Omen,Geese Flying Backwards,Persia,North Persia
269,Omen,Geese Flying Backwards,Germania,North Germania
270,Disaster,Plague,Rome,Grecia
270,Disaster,Famine,Persia,North Persia
270,Omen,Moon Turns Red,Britannia,Britannia
270,Omen,Geese Flying Backwards,Germania,North Germania
270,Omen,Rivers of Blood,Germania,South Germania
271,Disaster,Pillaged By Rome,Britannia,Britannia
271,Omen,Geese Flying Backwards,Germania,North Germania
272,Omen,Rivers of Blood,Rome,Gallia
272,Disaster,Pillaged By Germania,Persia,North Persia
272,Omen,Geese Flying Backwards,Germania,North Germania
272,Omen,Moon Turns Red,Germania,South Germania
273,Omen,Rivers of Blood,Persia,North Persia
273,Omen,Geese Flying Backwards,Persia,North Persia
273,Disaster,Pillaged By Germania,Persia,North Persia
273,Omen,Geese Flying Backwards,Germania,North Germania
274,Omen,Three-Headed Baby,Rome,Grecia
275,Omen,Moon Turns Red,Rome,Italia
275,Omen,Geese Flying Backwards,Persia,Central Persia
275,Disaster,Famine,Britannia,Britannia
276,Disaster,Plague,Rome,Italia
276,Disaster,Pillaged By Germania,Rome,Gallia
276,Omen,Geese Flying Backwards,Persia,Central Persia
276,Omen,Rivers of Blood,Persia,North Persia
276,Omen,Geese Flying Backwards,Germania,North Germania
276,Disaster,Fire,Germania,North Germania
277,Omen,Geese Flying Backwards,Persia,Central Persia
277,Omen,Black Dove,Persia,Central Persia
277,Omen,Geese Flying Backwards,Persia,Outer Persia
277,Omen,Black Dove,Persia,Outer Persia
277,Omen,Geese Flying Backwards,Persia,North Persia
277,Omen,Black Dove,Germania,North Germania
277,Disaster,Plague,Germania,South Germania
278,Omen,Moon Turns Red,Rome,Italia
278,Omen,Geese Flying Backwards,Persia,Central Persia
278,Omen,Geese Flying Backwards,Persia,Outer Persia
278,Disaster,Plague,Germania,North Germania
279,Omen,Moon Turns Red,Rome,Grecia
279,Disaster,Famine,Persia,Outer Persia
279,Omen,Rivers of Blood,Germania,North Germania
279,Disaster,Famine,Germania,North Germania
280,Omen,Moon Turns Red,Rome,Gallia
280,Disaster,Plague,Rome,Grecia
280,Omen,Geese Flying Backwards,Persia,Central Persia
280,Disaster,Fire,Germania,South Germania
281,Omen,Rivers of Blood,Rome,Italia
281,Omen,Moon Turns Red,Rome,Gallia
281,Disaster,Plague,Persia,Outer Persia
281,Disaster,Famine,Persia,North Persia
281,Omen,Geese Flying Backwards,Germania,North Germania
281,Disaster,Pillaged By Persia,Germania,North Germania
281,Disaster,Pillaged By Britannia,Germania,North Germania
282,Disaster,Plague,Rome,Gallia
282,Disaster,Fire,Persia,Central Persia
282,Disaster,Famine,Persia,Central Persia
282,Disaster,Plague,Persia,Central Persia
282,Disaster,Earthquake,Britannia,Britannia
282,Disaster,Earthquake,Germania,South Germania
283,Disaster,Plague,Rome,Italia
283,Omen,Geese Flying Backwards,Persia,Central Persia
283,Disaster,Earthquake,Persia,Central Persia
283,Disaster,Earthquake,Persia,North Persia
283,Disaster,Plague,Persia,North Persia
284,Disaster,Pillaged By Germania,Rome,Gallia
284,Disaster,Famine,Persia,Outer Persia
285,Omen,Geese Flying Backwards,Rome,Grecia
285,Omen,Geese Flying Backwards,Persia,Outer Persia
285,Disaster,Pillaged By Rome,Persia,Outer Persia
285,Disaster,Pillaged By Germania,Britannia,Britannia
286,Disaster,Famine,Persia,Central Persia
286,Omen,Geese Flying Backwards,Britannia,Britannia
286,Omen,Moon Turns Red,Britannia,Britannia
287,Omen,Three-Headed Baby,Rome,Gallia
287,Omen,Geese Flying Backwards,Rome,Gallia
287,Omen,Moon Turns Red,Rome,Grecia
287,Disaster,Famine,Rome,Grecia
287,Omen,Geese Flying Backwards,Persia,Central Persia
288,Disaster,Fire,Rome,Gallia
288,Disaster,Famine,Rome,Gallia
288,Disaster,Plague,Rome,Grecia
288,Omen,Geese Flying Backwards,Persia,Central Persia
288,Disaster,Pillaged By Rome,Persia,Outer Persia
288,Omen,Moon Turns Red,Britannia,Britannia
289,Disaster,Plague,Rome,Italia
289,Omen,Moon Turns Red,Rome,Gallia
289,Omen,Geese Flying Backwards,Rome,Grecia
289,Disaster,Plague,Persia,Outer Persia
289,Disaster,Plague,Britannia,Britannia
289,Disaster,Fire,Germania,South Germania
290,Disaster,Plague,Rome,Gallia
290,Disaster,Pillaged By Britannia,Rome,Gallia
290,Omen,Geese Flying Backwards,Rome,Grecia
290,Disaster,Plague,Persia,Central Persia
291,Disaster,Earthquake,Rome,Italia
291,Omen,Moon Turns Red,Persia,Outer Persia
291,Omen,Geese Flying Backwards,Britannia,Britannia
291,Disaster,Earthquake,Britannia,Britannia
291,Disaster,Earthquake,Germania,South Germania
291,Disaster,Plague,Germania,South Germania
292,Omen,Geese Flying Backwards,Rome,Grecia
292,Disaster,Famine,Britannia,Britannia
293,Disaster,Famine,Rome,Grecia
293,Disaster,Famine,Persia,Central Persia
294,Omen,Moon Turns Red,Persia,Outer Persia
294,Disaster,Pillaged By Rome,Britannia,Britannia
294,Omen,Three-Headed Baby,Germania,South Germania
294,Omen,Geese Flying Backwards,Germania,South Germania
295,Omen,Geese Flying Backwards,Persia,North Persia
295,Omen,Three-Headed Baby,Germania,North Germania
295,Omen,Rivers of Blood,Germania,North Germania
296,Omen,Three-Headed Baby,Rome,Italia
296,Disaster,Pillaged By Germania,Rome,Italia
296,Disaster,Pillaged By Germania,Britannia,Britannia
296,Disaster,Famine,Germania,South Germania
297,Omen,Geese Flying Backwards,Persia,Central Persia
297,Disaster,Fire,Persia,Outer Persia
297,Omen,Rivers of Blood,Germania,South Germania
298,Omen,Moon Turns Red,Rome,Italia
298,Omen,Moon Turns Red,Rome,Grecia
298,Omen,Rivers of Blood,Persia,Central Persia
298,Omen,Geese Flying Backwards,Germania,South Germania
299,Disaster,Pillaged By Rome,Persia,Outer Persia
299,Disaster,Fire,Britannia,Britannia
299,Omen,Moon Turns Red,Germania,South Germania
299,Disaster,Famine,Germania,South Germania
300,Omen,Rivers of Blood,Persia,North Persia
300,Omen,Three-Headed Baby,Germania,North Germania
301,Disaster,Fire,Rome,Gallia
301,Omen,Rivers of Blood,Rome,Grecia
301,Omen,Geese Flying Backwards,Persia,Outer Persia
301,Omen,Rivers of Blood,Persia,North Persia
301,Omen,Rivers of Blood,Germania,North Germania
302,Omen,Moon Turns Red,Rome,Gallia
302,Disaster,Pillaged By Germania,Rome,Gallia
302,Omen,Rivers of Blood,Persia,Central Persia
302,Omen,Geese Flying Backwards,Persia,Outer Persia
302,Disaster,Pillaged By Germania,Persia,North Persia
302,Omen,Rivers of Blood,Britannia,Britannia
302,Disaster,Fire,Germania,North Germania
303,Disaster,Plague,Rome,Gallia
303,Omen,Moon Turns Red,Persia,Outer Persia
303,Disaster,Famine,Persia,Outer Persia
303,Omen,Moon Turns Red,Germania,North Germania
303,Disaster,Pillaged By Persia,Germania,North Germania
304,Omen,Three-Headed Baby,Rome,Italia
304,Omen,Three-Headed Baby,Rome,Grecia
304,Disaster,Plague,Persia,Outer Persia
304,Omen,Moon Turns Red,Britannia,Britannia
304,Disaster,Plague,Britannia,Britannia
304,Omen,Geese Flying Backwards,Germania,South Germania
304,Disaster,Plague,Germania,South Germania
305,Disaster,Fire,Rome,Italia
305,Omen,Three-Headed Baby,Rome,Grecia
305,Disaster,Fire,Rome,Grecia
305,Disaster,Plague,Rome,Grecia
305,Omen,Three-Headed Baby,Persia,Outer Persia
305,Omen,Moon Turns Red,Germania,North Germania
305,Disaster,Famine,Germania,South Germania
306,Disaster,Plague,Rome,Italia
306,Omen,Rivers of Blood,Rome,Grecia
306,Disaster,Plague,Germania,North Germania
306,Omen,Moon Turns Red,Germania,South Germania
307,Omen,Three-Headed Baby,Persia,North Persia
307,Omen,Three-Headed Baby,Britannia,Britannia
308,Omen,Three-Headed Baby,Rome,Italia
308,Disaster,Fire,Rome,Italia
308,Omen,Geese Flying Backwards,Persia,Central Persia
308,Omen,Rivers of Blood,Persia,North Persia
308,Omen,Moon Turns Red,Persia,North Persia
308,Disaster,Fire,Persia,North Persia
309,Disaster,Pillaged By Persia,Rome,Grecia
309,Omen,Geese Flying Backwards,Persia,Outer Persia
309,Omen,Moon Turns Red,Persia,Outer Persia
309,Omen,Moon Turns Red,Persia,North Persia
309,Omen,Sun Goes Dark,Germania,North Germania
309,Omen,Three-Headed Baby,Germania,South Germania
310,Omen,Rivers of Blood,Persia,Central Persia
310,Omen,Geese Flying Backwards,Persia,Outer Persia
310,Omen,Moon Turns Red,Persia,North Persia
311,Omen,Three-Headed Baby,Rome,Italia
311,Omen,Rivers of Blood,Rome,Gallia
311,Disaster,Famine,Rome,Grecia
311,Omen,Flaming Comet,Persia,Outer Persia
312,Omen,Rivers of Blood,Rome,Gallia
312,Omen,Geese Flying Backwards,Persia,Outer Persia
312,Omen,Three-Headed Baby,Britannia,Britannia
312,Omen,Moon Turns Red,Britannia,Britannia
313,Omen,Rivers of Blood,Rome,Gallia
313,Omen,Moon Turns Red,Rome,Gallia
313,Omen,Rivers of Blood,Germania,North Germania
313,Omen,Moon Turns Red,Germania,North Germania
314,Omen,Geese Flying Backwards,Rome,Italia
314,Disaster,Fire,Rome,Gallia
314,Omen,Geese Flying Backwards,Persia,Central Persia
314,Omen,Geese Flying Backwards,Persia,Outer Persia
314,Omen,Flaming Comet,Britannia,Britannia
314,Disaster,Fire,Britannia,Britannia
314,Disaster,Pillaged By Rome,Britannia,Britannia
314,Disaster,Pillaged By Germania,Britannia,Britannia
314,Omen,Rivers of Blood,Germania,North Germania
314,Disaster,Plague,Germania,North Germania
314,Disaster,Pillaged By Persia,Germania,North Germania
314,Omen,Moon Turns Red,Germania,South Germania
315,Disaster,Famine,Rome,Grecia
315,Disaster,Fire,Persia,Outer Persia
315,Disaster,Earthquake,Persia,North Persia
315,Disaster,Plague,Persia,North Persia
315,Disaster,Earthquake,Germania,South Germania
315,Disaster,Plague,Germania,South Germania
316,Omen,Geese Flying Backwards,Rome,Italia
316,Disaster,Plague,Rome,Italia
316,Omen,Black Dove,Rome,Grecia
316,Omen,Black Dove,Persia,Central Persia
316,Disaster,Plague,Persia,Central Persia
316,Disaster,Famine,Persia,Outer Persia
316,Omen,Rivers of Blood,Persia,North Persia
316,Omen,Rivers of Blood,Britannia,Britannia
316,Omen,Black Dove,Britannia,Britannia
317,Omen,Geese Flying Backwards,Rome,Italia
317,Disaster,Plague,Rome,Gallia
317,Disaster,Plague,Rome,Grecia
317,Disaster,Pillaged By Britannia,Germania,North Germania
318,Disaster,Famine,Rome,Italia
318,Disaster,Pillaged By Britannia,Rome,Gallia
318,Omen,Geese Flying Backwards,Rome,Grecia
318,Disaster,Plague,Britannia,Britannia
319,Omen,Moon Turns Red,Persia,Outer Persia
320,Omen,Moon Turns Red,Rome,Italia
320,Omen,Geese Flying Backwards,Rome,Gallia
320,Omen,Rivers of Blood,Persia,Outer Persia
320,Disaster,Plague,Persia,Outer Persia
320,Disaster,Pillaged By Germania,Persia,North Persia
321,Disaster,Famine,Rome,Gallia
321,Omen,Moon Turns Red,Germania,South Germania
323,Omen,Geese Flying Backwards,Rome,Grecia
323,Omen,Moon Turns Red,Persia,North Persia
323,Omen,Rivers of Blood,Germania,North Germania
